friend,title,year,rating,tags
narmacil,Lo i sta³o siê. Zaduma nad œwiatem w sieci,2016,7,['Dokumentalny']
narmacil,Julieta,2016,6,['Dramat']
narmacil,Amarcord,1973,7,"['Dramat', 'Komedia', 'Obyczajowy']"
narmacil,Dziewczyna z portretu,2015,7,"['Biograficzny', 'Dramat']"
narmacil,Dotyk z³a,1958,8,['Film-Noir']
narmacil,Ultimatum Bourne'a,2007,6,['Sensacyjny']
narmacil,Œmietanka towarzyska,2016,6,"['Dramat', 'Komedia', 'Romans']"
narmacil,Krucjata Bourne'a,2004,6,['Sensacyjny']
narmacil,To¿samoœæ Bourne'a,2002,5,['Sensacyjny']
narmacil,Legion samobójców,2016,3,"['Akcja', 'Sci-Fi']"
narmacil,Star Trek: W nieznane,2016,4,"['Akcja', 'Sci-Fi']"
narmacil,Neon Demon,2016,7,['Thriller']
narmacil,Nice Guys. Równi goœcie,2016,5,['Komedia kryminalna']
narmacil,Nasza m³odsza siostra,2015,7,['Dramat']
narmacil,Ratatuj,2007,4,"['Animacja', 'Familijny', 'Komedia']"
narmacil,Zwierzogród,2016,7,"['Animacja', 'Komedia', 'Przygodowy']"
narmacil,X-Men: Apocalypse,2016,3,"['Akcja', 'Sci-Fi']"
narmacil,Mustang,2015,8,['Dramat']
narmacil,Kapitan Ameryka: Wojna bohaterów,2016,6,"['Akcja', 'Sci-Fi']"
narmacil,Kapitan Ameryka: Zimowy ¯o³nierz,2014,5,"['Akcja', 'Sci-Fi']"
narmacil,Captain America: Pierwsze starcie,2011,3,"['Akcja', 'Sci-Fi']"
narmacil,Pan Smith jedzie do Waszyngtonu,1939,9,"['Dramat', 'Komedia', 'Polityczny']"
narmacil,Cloverfield Lane 10,2016,7,"['Thriller', 'Sci-Fi']"
narmacil,Zabójczyni,2015,5,"['Dramat', 'Sztuki walki']"
narmacil,Fanny i Aleksander,1982,9,['Dramat obyczajowy']
narmacil,Ksiêga d¿ungli,2016,7,['Przygodowy']
narmacil,Deadpool,2016,4,"['Komedia', 'Akcja', 'Sci-Fi']"
narmacil,Batman v Superman: Œwit sprawiedliwoœci,2016,4,"['Akcja', 'Sci-Fi']"
narmacil,Pokój,2015,9,['Dramat']
narmacil,El Clan,2015,5,['Thriller']
narmacil,Lobster,2015,8,['Thriller']
narmacil,Brooklyn,2015,5,['Melodramat']
narmacil,Spotlight,2015,8,['Dramat']
narmacil,Na granicy,2016,7,['Thriller']
narmacil,"Ave, Cezar!",2016,6,"['Dramat', 'Komedia']"
narmacil,RoboCop,1987,5,"['Sensacyjny', 'Sci-Fi']"
narmacil,Equilibrium,2002,3,"['Thriller', 'Sci-Fi']"
narmacil,Straight Outta Compton,2015,7,"['Biograficzny', 'Muzyczny']"
narmacil,Zjawa,2015,7,"['Dramat', 'Przygodowy', 'Western']"
narmacil,Big Short,2015,7,['Dramat']
narmacil,Joy,2015,7,"['Biograficzny', 'Dramat', 'Komedia']"
narmacil,Syn Szaw³a,2015,7,"['Dramat', 'Wojenny']"
narmacil,Nienawistna ósemka,2015,9,['Western']
narmacil,Creed: Narodziny legendy,2015,5,"['Dramat', 'Sportowy']"
narmacil,Most szpiegów,2015,5,"['Dramat', 'Thriller']"
narmacil,Ostatni cesarz,1987,8,"['Biograficzny', 'Dramat historyczny']"
narmacil,Król Lew,1994,9,"['Animacja', 'Familijny']"
narmacil,Ex Machina,2015,7,"['Thriller', 'Sci-Fi']"
narmacil,Najlepsi wrogowie,2015,6,['Dokumentalny']
narmacil,Makbet,2015,8,['Dramat']
narmacil,Akira,1988,8,"['Sci-Fi', 'Anime']"
